Date,AAPL,MSFT,MMM,AMZN,GOOG,JPM,BBT
10/31/2014,108,46.950001,153.770004,305.459991,557.549255,60.48,37.880001
11/3/2014,109.400002,47.439999,153.300003,305.720001,553.699829,60.880001,37.889999
11/4/2014,108.599998,47.57,155.050003,302.809998,552.592834,60.25,37.919998
11/5/2014,108.860001,47.860001,155.690002,296.519989,544.425293,61.150002,37.91
11/6/2014,108.699997,48.700001,156.050003,296.640015,540.555908,61.23,38.259998
11/7/2014,109.010002,48.68,156.550003,299.859985,539.528748,61.470001,38.18
11/10/2014,108.830002,48.889999,157.660004,305.109985,545.990967,61.93,38.439999
11/11/2014,109.699997,48.869999,157.110001,312.01001,548.783325,61.369999,38.330002
11/12/2014,111.25,48.779999,157.679993,311.51001,545.811462,60.560001,37.669998
11/13/2014,112.82,49.610001,158.350006,316.480011,543.88678,60.23,37.580002
11/14/2014,114.18,49.580002,158.850006,327.820007,542.909424,60.279999,37.43
11/17/2014,113.989998,49.459999,158.690002,323.049988,535.041016,60.380001,37.34
11/18/2014,115.470001,48.740002,160.149994,324.929993,533.565125,60.529999,37.439999
11/19/2014,114.669998,48.220001,158.830002,326.540009,535.519714,60.599998,37.580002
11/20/2014,116.309998,48.700001,159.360001,330.540009,533.365662,60.119999,37.73
11/21/2014,116.470001,47.98,160.160004,332.630005,536.02832,60.450001,37.509998
11/24/2014,118.629997,47.59,159.880005,335.640015,537.793518,60.959999,38.07
11/25/2014,117.599998,47.470001,158.059998,335.040009,539.598511,60.299999,38.02
11/26/2014,119,47.75,158.309998,333.570007,538.890503,60.34,37.900002
11/28/2014,118.93,47.810001,160.089996,338.640015,540.346497,60.16,37.59
12/1/2014,115.07,48.619999,158.160004,326,532.33844,60,37.049999
12/2/2014,114.629997,48.459999,160.600006,326.309998,532.288574,61.080002,37.41
12/3/2014,115.93,48.080002,162.259995,316.5,529.865234,61.540001,37.959999
12/4/2014,115.489998,48.84,162.259995,316.929993,535.838867,61.380001,37.919998
12/5/2014,115,48.419998,162.270004,312.630005,523.821838,62.700001,38.779999
12/8/2014,112.400002,47.700001,160.929993,306.640015,525.537109,62.669998,38.759998
12/9/2014,114.120003,47.59,160.830002,312.5,531.909668,62.450001,38.93
12/10/2014,111.949997,46.900002,158.240005,305.839996,524.619629,60.68,38.099998
12/11/2014,111.620003,47.169998,159.149994,307.359985,526.893433,61.139999,38.18
12/12/2014,109.730003,46.950001,157.119995,307.320007,517.239929,60.040001,37.450001
12/15/2014,108.230003,46.669998,156.850006,306.070007,512.39325,59.16,37.080002
12/16/2014,106.75,45.16,159.050003,295.059998,494.03363,58.43,36.700001
12/17/2014,109.410004,45.740002,160.600006,298.880005,503.507629,59.77,37.52
12/18/2014,112.650002,47.52,165.300003,297.730011,509.700623,61.48,38.32
12/19/2014,111.779999,47.66,165.479996,299.899994,514.936218,61.93,38.330002
12/22/2014,112.940002,47.98,167.270004,306.540009,523.432922,61.939999,38.720001
12/23/2014,112.540001,48.450001,166.869995,306.290009,529.137268,62.48,39.240002
12/24/2014,112.010002,48.139999,166.960007,303.029999,527.322266,62.48,39.110001
12/26/2014,113.989998,47.880001,166.259995,309.089996,532.56781,62.549999,39.209999
12/29/2014,113.910004,47.450001,166.710007,312.040009,528.877991,62.959999,39.369999
12/30/2014,112.519997,47.02,165.839996,310.299988,528.967712,63.150002,39.34
12/31/2014,110.379997,46.450001,164.320007,310.350006,524.95874,62.580002,38.889999
1/2/2015,109.330002,46.759998,164.059998,308.519989,523.373108,62.490002,38.650002
1/5/2015,106.25,46.330002,160.360001,302.190002,512.463013,60.549999,37.43
1/6/2015,106.260002,45.650002,158.649994,295.290009,500.585632,58.98,36.700001
1/7/2015,107.75,46.23,159.800003,298.420013,499.727997,59.07,37.189999
1/8/2015,111.889999,47.59,163.630005,300.459991,501.30368,60.389999,37.810001
1/9/2015,112.010002,47.189999,161.619995,296.929993,494.811493,59.34,36.830002
1/12/2015,109.25,46.599998,160.740005,291.410004,491.201416,58.830002,36.490002
1/13/2015,110.220001,46.360001,160.619995,294.73999,494.821472,58.84,36.43
1/14/2015,109.800003,45.959999,159.839996,293.269989,499.498627,56.810001,35.66
1/15/2015,106.82,45.48,159.660004,286.950012,500.416107,54.990002,35.5
1/16/2015,105.989998,46.240002,162,290.73999,506.688873,55.93,36.02
1/20/2015,108.720001,46.389999,161.940002,289.440002,505.512115,55.709999,35.759998
1/21/2015,109.550003,45.919998,162.539993,297.25,516.621643,55.889999,35.639999
1/22/2015,112.400002,47.130001,165.889999,310.320007,532.926819,57.59,36.91
1/23/2015,112.980003,47.18,164.020004,312.390015,538.471619,56.68,36.82
1/26/2015,113.099998,47.009998,164.240005,309.660004,533.744629,56.77,36.990002
1/27/2015,109.139999,42.66,163.630005,306.75,517.210022,56.200001,36.290001
1/28/2015,115.309998,41.189999,163.940002,303.910004,508.603638,54.75,35.360001
1/29/2015,118.900002,42.009998,166.130005,311.779999,509.26181,55.669998,35.669998
1/30/2015,117.160004,40.400002,162.300003,354.529999,533.056519,54.380001,35.290001
2/2/2015,118.629997,41.279999,164.419998,364.470001,527.03302,55.470001,35.959999
2/3/2015,118.650002,41.599998,165.940002,363.549988,527.790955,56.720001,36.48
2/4/2015,119.559998,41.84,164.809998,364.75,521.328674,56.380001,36.369999
2/5/2015,119.940002,42.450001,166.550003,373.890015,526.135498,56.77,37.09
2/6/2015,118.93,42.41,166.070007,374.279999,529.546143,57.889999,38.029999
2/9/2015,119.720001,42.360001,164.839996,370.559998,526.384827,57.82,37.650002
2/10/2015,122.019997,42.599998,165.820007,373,535.469849,58.459999,37.810001
2/11/2015,124.879997,42.380001,164.479996,375.140015,534.502502,58.369999,37.41
2/12/2015,126.459999,43.09,165.910004,377.170013,541.443481,59.57,38.32
2/13/2015,127.080002,43.869999,165.940002,381.829987,547.506836,59.669998,38.279999
2/17/2015,127.830002,43.580002,166.919998,375.429993,541.353699,60.099998,38.439999
2/18/2015,128.720001,43.529999,167.399994,373.369995,538.22229,59.369999,37.82
2/19/2015,128.449997,43.5,167.089996,379,541.383606,59.23,37.799999
2/20/2015,129.5,43.860001,168.119995,383.660004,537.474365,59.799999,38.189999
2/23/2015,133,44.150002,168.809998,380.140015,530.453613,59.349998,37.970001
2/24/2015,132.169998,44.09,169.119995,378.589996,534.622192,60.82,38.220001
2/25/2015,128.789993,43.990002,168.889999,385.369995,542.38092,61.139999,38.34
2/26/2015,130.419998,44.060001,169.610001,384.799988,553.959106,61.580002,38.41
2/27/2015,128.460007,43.849998,168.649994,380.160004,556.871094,61.279999,38.049999
3/2/2015,129.089996,43.880001,170.5,385.660004,569.775696,61.77,38.400002
3/3/2015,129.360001,43.279999,168.270004,384.609985,572.069397,61.970001,38.169998
3/4/2015,128.539993,43.060001,167.160004,382.720001,571.80011,62.130001,37.810001
3/5/2015,126.410004,43.110001,167.570007,387.829987,573.754761,62,37.970001
3/6/2015,126.599998,42.360001,164.360001,380.089996,566.130676,60.889999,38.459999
3/9/2015,127.139999,42.849998,166.369995,378.559998,567.29248,61.5,38.57
3/10/2015,124.510002,42.029999,162.259995,369.51001,553.490417,59.959999,37.57
3/11/2015,122.239998,41.98,161.729996,366.369995,549.670898,60.240002,37.970001
3/12/2015,124.449997,41.02,164.470001,374.23999,553.989014,61.369999,38.990002
3/13/2015,123.589996,41.380001,162.740005,370.579987,545.821472,61,38.91
3/16/2015,124.949997,41.560001,166.210007,373.350006,552.99176,61.849998,39.23
3/17/2015,127.040001,41.700001,164.229996,371.920013,549.331787,61.610001,39.450001
3/18/2015,128.470001,42.5,166.470001,375.140015,557.968079,61.75,39.709999
3/19/2015,127.5,42.290001,165.660004,373.23999,556.462219,61.200001,39.560001
3/20/2015,125.900002,42.880001,166.490005,378.48999,558.825745,61.75,39.810001
3/23/2015,127.209999,42.860001,166.130005,375.109985,557.279968,61.139999,39.509998
3/24/2015,126.690002,42.900002,166.320007,374.089996,568.628845,60.459999,39.119999
3/25/2015,123.379997,41.459999,162.699997,370.959991,557.255066,59.610001,38.48
3/26/2015,124.239998,41.209999,162.589996,367.350006,553.649963,59.540001,38.66
3/27/2015,123.25,40.970001,163.5,370.559998,546.838684,59.549999,38.490002
3/30/2015,126.370003,40.959999,166.050003,374.589996,550.518555,60.959999,39.049999
3/31/2015,124.43,40.66,164.949997,372.100006,546.499573,60.580002,38.990002
4/1/2015,124.25,40.720001,162.520004,370.26001,541.074463,59.950001,38.560001
4/2/2015,125.32,40.290001,162.800003,372.25,534.063721,60.52,38.959999
4/6/2015,127.349998,41.549999,165.479996,377.040009,535.295349,60.470001,39.200001
4/7/2015,126.010002,41.529999,166.210007,374.410004,535.549622,60.849998,39.119999
4/8/2015,125.599998,41.419998,166.270004,381.200012,540.127075,61.049999,38.990002
4/9/2015,126.559998,41.48,166.789993,383.540009,539.299377,61.470001,39.099998
4/10/2015,127.099998,41.720001,167.070007,382.649994,538.531433,61.700001,39.040001
4/13/2015,126.849998,41.759998,165.839996,382.359985,537.693787,62.07,39.419998
4/14/2015,126.300003,41.650002,165.990005,385.109985,528.937805,63.040001,39
4/15/2015,126.779999,42.259998,166.440002,383.450012,531.07196,64.209999,39.290001
4/16/2015,126.169998,42.16,165.889999,386.040009,532.33844,63.810001,39.189999
4/17/2015,124.75,41.619999,161.710007,375.559998,522.615173,62.84,38.52
4/20/2015,127.599998,42.91,164.509995,389.51001,533.914124,63.240002,38.790001
4/21/2015,126.910004,42.639999,164,391.179993,532.507996,62.310001,38.66
4/22/2015,128.619995,42.990002,164.669998,389.799988,537.888245,62.939999,38.869999
4/23/2015,129.669998,43.34,159.660004,389.98999,545.502319,62.799999,37.860001
4/24/2015,130.279999,47.869999,158.990005,445.100006,563.512878,62.599998,37.779999
4/27/2015,132.649994,48.029999,157.979996,438.559998,555.369995,62.34,37.599998
4/28/2015,130.559998,49.16,158.330002,429.309998,553.679993,62.759998,37.959999
4/29/2015,128.639999,49.060001,156.970001,429.369995,549.080017,63.599998,38.310001
4/30/2015,125.150002,48.639999,156.389999,421.779999,537.340027,63.259998,38.290001
5/1/2015,128.949997,48.66,157.679993,422.869995,537.900024,63.610001,38.459999
5/4/2015,128.699997,48.240002,159.020004,423.040009,540.780029,64.720001,39.09
5/5/2015,125.800003,47.599998,157.910004,421.190002,530.799988,64.400002,38.970001
5/6/2015,125.010002,46.279999,157.639999,419.100006,524.219971,63.919998,38.66
5/7/2015,125.260002,46.700001,158.610001,426.880005,530.700012,64.5,38.57
5/8/2015,127.620003,47.75,160.600006,433.690002,538.219971,65.489998,39.060001
5/11/2015,126.32,47.369999,159.899994,432.850006,535.700012,65.449997,39.009998
5/12/2015,125.870003,47.349998,160.070007,431.019989,529.039978,65.360001,39.119999
5/13/2015,126.010002,47.630001,161.309998,426.869995,529.619995,65.519997,39.09
5/14/2015,128.949997,48.720001,163.149994,432.279999,538.400024,66.050003,39.169998
5/15/2015,128.770004,48.299999,163.300003,426,533.849976,65.879997,38.720001
5/18/2015,130.190002,48.009998,162.869995,425.23999,532.299988,66.419998,39.23
5/19/2015,130.070007,47.580002,163.119995,421.709991,537.359985,67.010002,39.779999
5/20/2015,130.059998,47.580002,161.899994,423.859985,539.27002,66.480003,39.59
5/21/2015,131.389999,47.419998,162.059998,431.630005,542.51001,66.650002,39.560001
5/22/2015,132.539993,46.900002,160.979996,427.630005,540.109985,66.470001,39.41
